,precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
767,45000,0.3,80,18,19/01/2023,59,union libre,0,9365.710902,6306.474367,0,0,86551.66709,0.0,1.0,750.0
5843,60000,0.4,60,6,30/04/2023,56,divorciado,0,43262.66287,28064.50171,4,1,,,,
1466,45000,0.2,120,6,31/01/2023,36,casado,1,27533.82225,19841.00477,0,0,78537.87118,1.0,7.0,750.0
880,22000,0.1,80,6,21/05/2023,57,soltero,0,38576.03828,25084.13502,0,0,,,,
3208,45000,0.1,80,6,15/12/2022,18,casado,0,47818.00541,32806.17068,2,0,67362.15532,3.0,5.0,543.0
2735,15000,0.3,120,18,24/04/2023,35,casado,0,12634.6556,7940.834256,3,0,50650.11549,0.0,21.0,392.0
3472,60000,0.3,80,24,04/06/2023,35,casado,0,50766.09752,24702.70307,1,0,88114.94456,1.0,23.0,492.0
457,60000,0.3,60,6,12/05/2023,60,divorciado,1,16131.44019,10320.58553,1,0,,,,
706,22000,0.2,60,12,16/04/2023,44,union libre,0,25816.35813,16692.15335,0,0,55564.75063,2.0,17.0,438.0
3459,34000,0.2,120,6,04/01/2023,35,soltero,0,41323.29513,30262.90832,2,0,11771.74787,1.0,24.0,750.0
2259,60000,0.3,60,18,08/11/2022,51,soltero,1,24503.63566,18170.52675,0,0,,,,
3269,15000,0.2,60,24,15/07/2022,33,soltero,1,53762.40048,25899.31037,2,1,30181.98569,0.0,29.0,460.0
4625,60000,0.2,80,24,29/11/2022,48,casado,0,17338.78785,8118.421257,0,0,25925.06181,0.0,48.0,594.0
2833,34000,0.3,120,18,15/11/2022,26,divorciado,0,9135.85942,5286.107296,0,1,21624.04299,2.0,46.0,582.0
4915,34000,0.2,120,6,13/01/2023,39,casado,0,25941.0278,18381.89861,3,0,51740.31458,1.0,48.0,656.0
2174,45000,0.3,80,24,07/08/2022,35,divorciado,1,30862.10033,28547.53715,3,0,21213.1796,2.0,48.0,631.0
1172,15000,0.2,80,12,05/08/2022,29,soltero,1,18328.00596,12859.8039,0,0,72438.65761,1.0,23.0,625.0
3287,22000,0.1,60,24,26/08/2022,51,casado,1,24609.58095,17750.39922,0,1,61730.19184,1.0,44.0,557.0
468,34000,0.1,120,6,30/08/2022,45,divorciado,1,27652.73587,13776.18337,4,1,40320.21708,0.0,77.0,350.0
5138,22000,0.1,60,6,02/01/2023,40,casado,0,29254.8712,23144.62954,0,1,,,,
5834,60000,0.4,120,18,24/12/2022,55,casado,0,49780.46087,36113.09471,4,0,65060.70548,1.0,2.0,690.0
5997,45000,0.4,120,24,07/01/2023,26,casado,0,19732.455,9650.143096,2,0,,,,
4835,50000,0.2,60,6,05/03/2023,56,divorciado,1,6871.772897,5937.224457,2,0,22966.99666,0.0,123.0,596.0
3023,34000,0.4,60,6,19/09/2022,41,soltero,0,34041.34525,25894.28578,0,0,,,,
2356,60000,0.1,120,18,25/08/2022,40,divorciado,0,33751.02013,26905.92342,0,0,,,,
4885,50000,0.1,80,18,01/10/2022,25,casado,0,29073.78211,19399.04475,2,1,9852.443672,0.0,80.0,558.0
3781,22000,0.4,80,24,23/01/2023,45,divorciado,0,35922.34112,21772.99542,3,0,,,,
3778,45000,0.3,60,24,05/07/2022,40,casado,0,38790.82906,28511.55475,2,0,37739.21586,2.0,3.0,556.0
3014,45000,0.2,60,12,13/08/2022,57,casado,0,51480.92374,38747.4042,4,1,90251.22075,1.0,72.0,548.0
2181,45000,0.4,80,18,23/10/2022,63,union libre,0,24374.00973,18702.8392,2,1,83140.13436,1.0,36.0,534.0
4987,50000,0.1,120,24,08/06/2023,32,casado,1,33740.12123,15008.75151,4,0,56286.7965,3.0,28.0,596.0
145,50000,0.4,80,12,12/06/2023,53,union libre,1,5000.0,5000.0,2,0,70237.41922,0.0,29.0,494.0
2419,22000,0.3,120,24,25/10/2022,48,casado,0,47594.68008,35638.84459,2,0,,,,
2631,45000,0.2,60,18,10/01/2023,33,union libre,1,27304.72623,20249.61583,4,0,,,,
5297,34000,0.1,80,6,19/01/2023,39,casado,0,23384.75217,7428.892748,1,0,10475.55984,1.0,9.0,593.0
3590,60000,0.4,80,6,10/07/2022,61,casado,0,51272.782,19270.34606,0,0,,,,
4128,15000,0.4,60,6,16/09/2022,56,soltero,1,13863.4378,8104.731817,2,1,23777.0206,1.0,55.0,564.0
5657,22000,0.4,60,6,23/05/2023,46,divorciado,0,41850.60464,18928.11647,0,0,9457.324862,2.0,21.0,585.0
1284,15000,0.1,80,24,25/04/2023,66,divorciado,0,5000.0,1592.570243,0,0,,,,
2946,15000,0.1,60,18,16/05/2023,31,casado,0,41316.36672,14641.52394,1,1,39859.94269,0.0,197.0,590.0
2579,22000,0.2,80,18,10/01/2023,30,soltero,0,11646.57208,6197.31566,4,0,80610.43218,0.0,9.0,612.0
1452,22000,0.1,120,6,17/09/2022,39,casado,0,21329.81407,10861.94078,2,0,,,,
2686,60000,0.1,60,18,30/12/2022,52,divorciado,1,22250.86676,11329.434,4,0,,,,
3281,34000,0.4,120,24,30/11/2022,48,casado,0,5473.271417,5473.271417,1,1,61771.54913,1.0,56.0,512.0
4229,45000,0.1,80,6,12/04/2023,52,casado,0,5000.0,5000.0,1,1,,,,
2096,15000,0.4,120,18,17/07/2022,37,casado,0,19918.19197,7003.340203,1,0,,,,
2719,45000,0.3,80,24,12/09/2022,52,soltero,1,7841.662664,5524.588603,0,1,79513.42895,0.0,78.0,519.0
4783,50000,0.4,80,18,26/05/2023,34,casado,1,5000.0,3250.978127,2,0,110270.5287,1.0,37.0,662.0
3927,60000,0.1,80,24,30/01/2023,41,divorciado,0,38370.53894,29555.87801,0,1,41366.00585,1.0,13.0,625.0
517,50000,0.2,60,24,08/08/2022,45,union libre,0,31316.56981,22398.49813,3,0,39271.9818,2.0,2.0,481.0
1076,34000,0.2,60,12,30/03/2023,72,union libre,0,29571.10661,13715.41761,0,0,48111.47703,0.0,29.0,647.0
91,15000,0.4,120,6,01/07/2023,39,union libre,0,37652.53106,16467.49953,2,0,90031.25757,2.0,48.0,587.0
769,45000,0.1,120,6,06/03/2023,46,divorciado,0,23955.00026,13039.27713,0,0,,,,
3997,50000,0.3,120,18,10/03/2023,37,casado,1,26035.15607,10367.65481,1,1,12112.01003,1.0,80.0,556.0
2340,34000,0.4,60,18,17/09/2022,23,soltero,0,34851.71724,21094.84451,0,1,16983.88406,0.0,25.0,605.0
3385,45000,0.4,120,12,24/11/2022,44,viudo,0,13535.01278,5667.589255,2,0,61137.09442,1.0,26.0,704.0
3444,60000,0.4,60,24,01/09/2022,59,soltero,0,36718.62717,20196.90504,2,0,49660.95629,3.0,50.0,684.0
2295,15000,0.4,120,24,01/08/2022,40,soltero,0,5000.0,5000.0,0,0,,,,
2895,60000,0.4,80,6,25/02/2023,45,divorciado,1,5619.52749,4021.575882,0,0,76808.14071,4.0,7.0,456.0
1525,60000,0.3,80,6,03/03/2023,32,divorciado,1,24167.12078,20825.87442,0,1,47673.05513,0.0,16.0,669.0
2885,45000,0.2,80,6,19/06/2023,57,union libre,0,41899.96553,28981.76893,1,1,25273.47133,3.0,23.0,738.0
4229,45000,0.1,80,6,12/04/2023,52,casado,0,5000.0,5000.0,1,1,,,,
1710,60000,0.4,80,6,24/04/2023,36,divorciado,1,13248.03969,12681.42274,3,0,59436.74864,2.0,37.0,480.0
194,22000,0.2,120,18,10/09/2022,34,casado,0,39793.68393,19996.34672,1,0,91471.43112,2.0,39.0,750.0
5935,45000,0.2,80,6,16/09/2022,50,union libre,0,16679.23323,10997.93414,3,0,,,,
5811,22000,0.2,120,18,08/12/2022,18,divorciado,0,30692.12314,14508.58458,1,0,41768.94944,2.0,69.0,407.0
3503,22000,0.1,80,6,04/12/2022,55,soltero,1,21691.72293,11362.81359,4,0,32343.85707,1.0,65.0,480.0
5455,50000,0.3,60,6,07/02/2023,36,divorciado,0,13353.78313,10289.26468,0,1,,,,
2974,22000,0.2,120,18,30/10/2022,58,casado,0,5000.0,2195.225743,4,0,,,,
2778,15000,0.1,60,6,09/08/2022,60,soltero,0,28781.5825,20975.44311,1,0,41108.3313,2.0,72.0,598.0
3735,22000,0.4,60,6,17/07/2022,56,soltero,0,16526.23789,13046.24985,0,0,,,,
2114,22000,0.1,60,18,13/07/2022,41,soltero,0,27429.25181,12528.87287,0,0,9145.831066,0.0,82.0,663.0
4918,22000,0.3,120,18,22/11/2022,53,union libre,0,32042.46421,14298.14942,0,1,96595.04318,1.0,11.0,596.0
5060,60000,0.4,60,12,08/11/2022,42,soltero,1,47065.38752,33096.99706,4,1,60341.77527,0.0,81.0,525.0
2812,60000,0.2,120,6,01/08/2022,52,casado,0,18548.46347,11339.42096,1,0,21131.36466,1.0,38.0,487.0
3593,15000,0.2,120,6,29/11/2022,59,casado,0,31399.56802,20961.25559,2,0,,,,
3858,34000,0.4,80,24,25/08/2022,57,divorciado,0,49933.27549,16167.72094,3,0,,,,
4621,22000,0.2,120,6,12/04/2023,42,casado,0,52689.49353,34712.09506,0,1,,,,
3823,22000,0.3,120,12,22/12/2022,42,casado,0,28220.6893,9557.833945,1,1,,,,
2909,45000,0.1,60,24,14/05/2023,41,casado,0,32216.76815,16969.05021,1,1,,,,
1121,50000,0.3,80,24,23/02/2023,28,union libre,0,40153.10974,31420.76841,3,0,,,,
2342,22000,0.3,60,12,10/12/2022,61,casado,1,5739.968901,5739.968901,2,1,,,,
235,15000,0.3,60,18,25/06/2023,53,union libre,0,40024.06828,26492.55895,3,1,68958.76546,0.0,2.0,610.0
5373,60000,0.3,60,12,02/07/2022,33,union libre,0,39083.78188,15263.08572,0,1,18402.62384,2.0,8.0,402.0
5244,34000,0.2,60,18,16/09/2022,60,soltero,0,22267.53493,16865.87458,3,0,61315.62075,1.0,16.0,668.0
1673,60000,0.4,120,12,24/01/2023,56,divorciado,0,39168.13346,14349.24205,2,0,8932.963942,1.0,1.0,522.0
1717,34000,0.3,60,6,03/05/2023,44,divorciado,0,22370.46346,8178.396993,2,0,,,,
1237,45000,0.3,120,24,16/07/2022,32,soltero,0,28027.87235,13566.89447,1,1,28456.77928,0.0,92.0,578.0
3841,22000,0.2,120,12,27/01/2023,66,casado,0,8747.470986,7361.827827,0,0,21441.97195,0.0,83.0,464.0
5362,15000,0.2,120,24,17/08/2022,38,divorciado,0,16236.85865,7607.371429,0,0,,,,
1388,60000,0.3,80,24,01/03/2023,38,soltero,0,33474.89753,23042.67674,2,1,94902.72011,0.0,19.0,713.0
1662,34000,0.2,60,18,19/03/2023,29,union libre,1,25151.01555,8946.553425,1,0,98487.95128,3.0,40.0,493.0
2847,50000,0.2,120,12,31/05/2023,28,soltero,0,18059.90404,8956.389317,2,0,45136.65506,3.0,11.0,491.0
3068,50000,0.1,120,12,16/01/2023,35,soltero,1,5000.0,3635.966098,4,0,96513.15693,3.0,48.0,501.0
1892,45000,0.1,120,6,31/07/2022,32,divorciado,0,38203.39753,22834.14676,1,1,,,,
1252,22000,0.2,120,18,19/06/2023,65,soltero,1,23049.97164,17605.21152,2,1,32442.75208,3.0,45.0,505.0
160,45000,0.2,60,24,12/11/2022,33,divorciado,0,29743.06664,15580.51402,2,0,93205.86585,0.0,19.0,559.0
5814,34000,0.2,60,24,18/10/2022,49,divorciado,1,27633.28603,15672.7321,1,0,44677.91189,1.0,15.0,445.0
504,22000,0.4,80,18,27/06/2023,23,casado,0,26054.75842,14017.3997,0,0,46698.41861,4.0,28.0,561.0
2559,60000,0.1,120,6,29/06/2023,32,divorciado,1,48711.99074,19908.19702,0,1,13546.38447,0.0,74.0,750.0
3860,15000,0.4,120,18,09/05/2023,63,soltero,0,28566.1494,14209.03605,2,0,92682.92453,1.0,10.0,514.0
850,50000,0.3,120,24,02/06/2023,67,divorciado,0,51088.46458,20036.29141,1,1,31028.95963,2.0,66.0,696.0
3713,34000,0.3,60,24,27/05/2023,29,casado,0,46315.08675,35597.40503,1,0,,,,
4944,15000,0.4,80,18,19/07/2022,27,casado,0,61396.1883,29218.17047,1,0,,,,
3577,15000,0.3,80,18,25/12/2022,36,casado,0,45172.79046,14228.34727,1,0,,,,
4318,22000,0.1,80,18,15/04/2023,45,soltero,0,31289.4125,16996.45147,1,0,78840.94659,1.0,5.0,750.0
2461,22000,0.3,60,12,12/09/2022,51,divorciado,1,42750.05224,27502.34717,1,0,97748.72765,4.0,3.0,460.0
2557,34000,0.1,120,12,01/02/2023,44,casado,0,15093.56784,8600.863259,2,0,,,,
2778,15000,0.1,60,6,09/08/2022,60,soltero,0,28781.5825,20975.44311,1,0,41108.3313,2.0,72.0,598.0
622,22000,0.4,80,24,04/11/2022,33,soltero,0,14168.04208,7280.458356,1,0,,,,
3242,50000,0.2,80,18,09/06/2023,40,union libre,0,33342.66986,16354.03541,2,0,,,,
4981,22000,0.2,80,24,15/05/2023,45,casado,0,5000.0,3353.509377,1,0,,,,
480,60000,0.2,120,12,13/02/2023,37,soltero,0,24509.18537,8881.350997,2,1,90001.61503,1.0,20.0,542.0
3949,50000,0.2,120,24,29/05/2023,49,divorciado,1,36956.91596,23211.79145,1,1,34330.57323,2.0,96.0,380.0
877,45000,0.3,60,18,01/11/2022,40,casado,0,34355.53573,12971.34883,1,0,,,,
3052,22000,0.1,80,18,13/09/2022,50,casado,0,29837.33119,16818.35013,0,1,40141.91269,0.0,120.0,464.0
1245,45000,0.1,60,18,02/07/2022,47,casado,0,5000.0,1942.72691,2,1,91857.61126,2.0,9.0,743.0
3280,50000,0.1,120,6,26/10/2022,38,casado,0,5000.0,1952.448057,1,0,,,,
1067,60000,0.1,60,24,03/09/2022,42,soltero,1,5000.0,5000.0,3,0,71074.14804,3.0,69.0,556.0
3496,45000,0.4,120,24,06/07/2022,37,divorciado,1,25961.71843,12152.79739,1,0,81025.22169,4.0,57.0,660.0
745,22000,0.1,80,6,12/03/2023,39,soltero,0,20116.68006,10071.61388,0,0,,,,
5048,15000,0.1,80,18,16/02/2023,34,soltero,0,26438.04712,13572.06092,1,0,,,,
5539,60000,0.3,60,18,18/02/2023,35,divorciado,0,33316.81109,16899.83676,0,0,64016.15578,1.0,13.0,380.0
4888,45000,0.1,80,12,11/02/2023,52,casado,1,6864.299442,6159.634673,2,1,,,,
5573,60000,0.4,60,12,21/02/2023,24,divorciado,0,38188.05358,12349.77513,2,0,7538.038467,2.0,58.0,456.0
4553,34000,0.1,120,18,10/08/2022,18,soltero,0,43677.44955,29006.52313,2,0,98157.40888,0.0,5.0,576.0
5355,15000,0.3,120,6,11/11/2022,23,casado,1,26692.7532,20157.32305,1,0,69621.6353,1.0,66.0,510.0
4683,34000,0.3,120,24,06/03/2023,36,union libre,1,24596.78601,12744.68251,1,0,51858.94888,1.0,33.0,666.0
5335,50000,0.4,60,18,23/02/2023,45,casado,0,62935.45665,33475.86041,1,0,,,,
4170,50000,0.2,60,18,10/08/2022,42,divorciado,0,31677.70607,21847.33937,0,1,73966.29643,0.0,42.0,554.0
2491,34000,0.4,120,18,29/12/2022,85,union libre,0,5000.0,5000.0,4,1,80206.07432,1.0,59.0,407.0
1815,34000,0.1,120,12,17/10/2022,30,divorciado,0,19012.68125,9983.067495,2,0,,,,
556,34000,0.2,120,24,28/09/2022,42,soltero,0,5000.0,5000.0,1,0,,,,
2721,15000,0.2,120,12,20/04/2023,52,casado,1,38240.5261,13473.13135,0,0,,,,
5954,15000,0.3,60,12,21/06/2023,33,soltero,0,19560.90981,11601.32132,0,0,31361.20153,0.0,55.0,670.0
194,22000,0.2,120,18,10/09/2022,34,casado,0,39793.68393,19996.34672,1,0,91471.43112,2.0,39.0,750.0
684,34000,0.2,120,24,02/10/2022,35,soltero,0,23822.21664,12744.0339,4,0,,,,
5398,22000,0.2,80,24,21/02/2023,43,divorciado,0,36136.7228,17085.19119,3,0,,,,
338,34000,0.2,60,18,18/10/2022,25,union libre,0,51746.98717,32077.14109,2,0,82346.83705,1.0,52.0,621.0
4928,50000,0.4,120,6,22/12/2022,39,divorciado,1,37966.82252,15696.9166,2,0,,,,
2843,34000,0.3,120,6,19/03/2023,23,union libre,0,19529.58709,12498.43943,3,0,33950.66178,0.0,24.0,595.0
4018,34000,0.1,120,24,11/07/2022,58,casado,1,14312.90003,14003.92505,1,1,85204.59524,4.0,39.0,278.0
346,15000,0.4,120,18,09/02/2023,44,union libre,0,22994.48008,8888.977303,1,0,85636.17867,0.0,38.0,636.0
1494,22000,0.3,60,24,30/12/2022,22,casado,0,39380.61384,16208.11087,0,0,,,,
2481,15000,0.4,80,24,21/04/2023,35,divorciado,1,57338.01409,43898.79122,0,1,30381.38478,4.0,49.0,750.0
5312,15000,0.1,120,24,24/05/2023,30,casado,0,12027.89083,7612.314201,1,0,,,,
1189,50000,0.3,80,24,05/12/2022,41,union libre,0,25520.77855,15254.82124,4,0,,,,
3752,34000,0.4,60,18,14/11/2022,63,casado,0,18184.03898,11831.18667,1,0,,,,
1481,50000,0.2,60,24,07/11/2022,31,divorciado,1,16222.9685,11090.34629,1,0,,,,
1836,45000,0.1,60,12,21/02/2023,54,casado,1,28664.44333,14518.40262,0,1,95624.34316,1.0,38.0,520.0
3172,15000,0.1,80,18,01/01/2023,66,casado,0,30928.80914,15532.96798,1,1,108582.4501,1.0,39.0,700.0
2238,34000,0.4,120,24,26/06/2023,34,casado,0,5000.0,5000.0,1,1,103953.9325,4.0,54.0,700.0
2632,45000,0.3,80,18,06/04/2023,60,casado,1,7502.613714,6864.296397,3,0,54550.10947,2.0,18.0,681.0
5320,60000,0.4,80,6,19/07/2022,44,casado,0,16057.73127,10521.97207,0,1,105272.3088,0.0,164.0,501.0
5892,34000,0.3,60,12,20/10/2022,54,casado,0,25876.88917,12842.53909,1,0,,,,
2076,34000,0.1,120,6,08/05/2023,46,union libre,1,18829.14199,14382.81744,1,0,27780.97153,1.0,46.0,496.0
2426,22000,0.3,60,12,21/12/2022,36,divorciado,0,37144.97488,16870.44628,2,0,,,,
1434,22000,0.3,60,6,21/08/2022,67,divorciado,1,15679.49809,13948.68629,1,1,104029.9076,2.0,57.0,585.0
4589,34000,0.3,60,24,09/12/2022,35,casado,0,47726.82785,36078.69762,0,0,18306.04949,1.0,10.0,455.0
1174,34000,0.3,120,18,24/12/2022,37,casado,0,36024.31984,19762.75161,2,0,81905.84348,3.0,12.0,642.0
4839,15000,0.4,120,24,20/10/2022,41,divorciado,1,28044.60954,14631.88222,1,0,70097.8335,1.0,50.0,620.0
4205,50000,0.1,120,12,06/04/2023,66,soltero,0,28907.80083,10578.74443,1,0,53175.30717,0.0,1.0,560.0
5425,45000,0.4,80,18,07/11/2022,32,casado,1,19287.08294,8424.115421,4,0,,,,
1672,15000,0.3,120,12,29/07/2022,46,union libre,0,26228.69231,17901.7526,1,0,,,,
3283,22000,0.3,80,6,31/12/2022,56,divorciado,0,29699.37737,19481.48869,0,0,,,,
805,60000,0.1,60,6,30/06/2023,35,soltero,1,29984.24584,16676.86563,1,0,54929.53413,4.0,32.0,591.0
4371,60000,0.3,120,6,12/04/2023,56,casado,0,28680.17635,20463.6973,0,0,,,,
361,45000,0.3,60,12,10/04/2023,60,divorciado,0,7148.104878,4330.288078,4,0,17842.34135,1.0,18.0,446.0
5252,15000,0.4,60,18,19/07/2022,25,divorciado,1,23196.61929,16797.03283,1,1,52686.76421,0.0,15.0,750.0
5747,34000,0.2,60,18,08/01/2023,44,soltero,0,35313.20394,12253.00242,0,0,,,,
1823,50000,0.1,80,6,23/04/2023,23,divorciado,0,5000.0,3931.546197,0,0,21001.53138,2.0,2.0,446.0
470,60000,0.3,120,24,01/06/2023,54,casado,1,5000.0,4514.14556,0,1,,,,
4871,50000,0.1,60,18,01/09/2022,42,casado,0,26671.78267,14507.1111,0,1,60511.24672,3.0,40.0,518.0
2523,50000,0.2,80,6,03/02/2023,61,union libre,0,13315.53179,5819.285823,0,0,,,,
121,15000,0.2,60,24,30/06/2023,41,casado,0,18183.76071,5617.754147,2,0,59380.67078,0.0,24.0,582.0
171,45000,0.4,60,12,23/08/2022,41,union libre,1,6451.511364,6451.511364,3,1,14619.80044,0.0,19.0,562.0
1729,45000,0.3,120,24,13/07/2022,24,casado,0,53010.91815,40313.91237,1,0,72247.72137,3.0,18.0,657.0
4207,50000,0.4,120,6,05/08/2022,38,divorciado,0,34992.75267,23947.22611,0,0,44194.17166,0.0,4.0,548.0
5067,22000,0.2,80,6,10/12/2022,25,union libre,0,36643.53071,19927.07186,0,0,,,,
1805,34000,0.4,120,6,04/01/2023,48,union libre,1,35489.7267,24416.6649,2,0,75189.59484,0.0,153.0,478.0
101,34000,0.1,60,12,02/06/2023,47,casado,0,34163.41268,19205.3128,0,0,91999.53241,0.0,9.0,587.0
441,15000,0.1,60,6,23/12/2022,28,casado,1,30198.43085,21568.73881,3,0,14647.34697,2.0,5.0,359.0
3538,34000,0.2,60,24,15/12/2022,22,casado,0,40657.2829,23068.03593,0,0,90762.42084,1.0,50.0,578.0
765,45000,0.3,60,6,05/06/2023,32,casado,1,21732.59386,9951.123246,0,0,79357.48427,0.0,29.0,462.0
5479,45000,0.3,60,24,16/11/2022,44,divorciado,0,40805.65671,28019.97628,1,0,,,,
2956,22000,0.4,120,6,05/01/2023,37,union libre,0,43133.97366,16509.69472,2,0,77433.77778,2.0,43.0,561.0
1367,15000,0.2,60,6,17/10/2022,31,union libre,0,30090.01151,10752.36208,2,1,58114.77368,4.0,6.0,495.0
3110,15000,0.2,120,24,08/09/2022,47,soltero,1,36872.56424,18828.15399,1,1,53592.00785,5.0,21.0,660.0
2413,22000,0.3,60,6,02/04/2023,56,union libre,1,12360.48863,7577.109508,1,0,84723.45196,4.0,32.0,565.0
293,34000,0.2,60,24,27/03/2023,25,casado,0,21987.83775,11345.3201,0,0,,,,
1310,50000,0.4,120,12,14/03/2023,73,divorciado,0,17400.73015,17400.73015,4,1,77312.53519,0.0,125.0,613.0
3968,22000,0.4,60,12,14/12/2022,59,divorciado,0,8974.80366,5317.681916,0,0,,,,
848,15000,0.2,80,12,19/06/2023,62,casado,1,50873.15476,33035.8455,2,0,,,,
670,15000,0.2,80,24,29/07/2022,60,soltero,1,19283.26675,17673.01781,3,0,91868.36501,3.0,87.0,458.0
1412,15000,0.1,120,18,20/09/2022,53,soltero,1,5000.0,5000.0,1,1,36104.47689,3.0,68.0,644.0
3759,45000,0.3,60,6,26/07/2022,28,soltero,0,26947.57066,21368.45105,0,1,,,,
5396,22000,0.4,60,6,09/12/2022,50,soltero,0,9134.427596,6773.415015,0,1,51488.50706,3.0,41.0,571.0
5562,22000,0.1,80,6,18/09/2022,51,divorciado,1,5545.990658,5545.990658,4,1,,,,
412,22000,0.1,120,6,25/02/2023,50,casado,0,5000.0,2496.537698,0,1,44448.17238,2.0,18.0,636.0
9,34000,0.2,120,18,18/06/2023,45,divorciado,1,21838.12003,16354.95647,0,0,,,,
3579,50000,0.1,80,24,08/06/2023,72,casado,0,24149.04267,14128.62684,3,1,,,,
2758,22000,0.2,120,6,25/05/2023,36,casado,0,25169.19912,12913.6677,0,0,14067.51245,2.0,10.0,601.0
3689,60000,0.3,120,6,17/04/2023,56,casado,0,9235.112897,9235.112897,0,0,,,,
471,45000,0.3,80,24,17/06/2023,49,soltero,0,26230.41132,11486.16291,2,1,,,,
204,50000,0.2,80,24,11/11/2022,40,divorciado,0,44057.58409,18425.68231,1,0,,,,
3643,50000,0.3,80,18,06/06/2023,37,soltero,0,27710.71732,18746.4712,2,0,5573.193082,1.0,52.0,648.0
4090,45000,0.3,120,24,21/08/2022,43,casado,0,28939.84673,14330.85561,1,0,,,,
4818,50000,0.2,120,6,01/07/2022,44,soltero,1,22758.0809,11465.82124,0,0,,,,
4571,50000,0.2,60,6,29/03/2023,18,casado,0,37587.3361,17802.792,2,0,,,,
3740,34000,0.3,120,6,10/01/2023,32,divorciado,0,27326.23129,19270.11459,1,0,,,,
775,34000,0.1,80,6,21/03/2023,31,divorciado,0,10573.92138,6148.690469,1,0,82708.75592,2.0,60.0,431.0
4338,15000,0.4,80,6,29/06/2023,51,soltero,0,14348.7173,7193.658742,1,0,,,,
4523,50000,0.3,60,12,11/06/2023,34,union libre,0,13170.83428,10030.96512,0,0,48081.62616,2.0,14.0,634.0
448,60000,0.2,80,24,04/03/2023,42,union libre,0,62177.38776,46857.62842,1,0,59134.95272,0.0,17.0,501.0
2611,34000,0.4,120,6,09/08/2022,39,divorciado,1,19464.17278,17358.20899,1,0,91834.86057,1.0,24.0,590.0
4137,60000,0.3,80,12,03/07/2022,23,soltero,0,24090.90579,15279.43766,2,1,,,,
564,50000,0.1,80,24,29/06/2023,40,divorciado,1,51970.545,36188.81032,0,0,,,,
353,60000,0.1,120,6,27/06/2023,72,casado,1,18623.75,8542.189788,1,1,98280.95754,1.0,61.0,396.0
5645,60000,0.1,120,18,10/11/2022,55,soltero,1,5000.0,5000.0,0,0,48281.40416,1.0,51.0,490.0
3405,34000,0.2,60,18,29/06/2023,47,divorciado,0,43122.12774,24162.28859,0,1,90448.62727,0.0,13.0,726.0
1272,22000,0.1,120,24,22/03/2023,37,casado,0,30604.93572,21793.68166,2,0,7564.913022,0.0,25.0,521.0
1656,45000,0.4,120,6,08/12/2022,50,viudo,0,17207.66237,6454.569363,2,1,97881.78473,3.0,17.0,739.0
12,50000,0.4,120,6,13/10/2022,59,union libre,1,39822.60379,16780.17379,0,0,18068.51495,2.0,58.0,610.0
1574,34000,0.1,60,24,10/10/2022,41,union libre,0,6569.739852,5897.848033,0,1,96594.31363,0.0,23.0,596.0
5488,22000,0.3,60,12,07/09/2022,55,casado,0,31431.43583,23601.37683,4,0,,,,
3803,15000,0.1,60,12,15/04/2023,48,casado,0,15936.9954,9755.904282,2,0,,,,
51,50000,0.2,60,6,18/03/2023,28,union libre,0,38969.35778,22815.30661,2,0,56971.15624,3.0,28.0,507.0
5482,34000,0.1,80,24,31/03/2023,18,union libre,0,18259.67747,14329.93179,0,1,,,,
511,22000,0.1,120,12,01/03/2023,47,union libre,1,22379.86842,15797.08047,1,0,96557.82593,0.0,7.0,573.0
5666,45000,0.4,60,6,17/05/2023,36,union libre,0,28164.90024,12119.50562,0,0,,,,
759,34000,0.4,60,24,25/02/2023,52,casado,0,16509.94489,9049.984069,1,0,80380.91867,1.0,19.0,503.0
3162,22000,0.3,80,6,07/07/2022,18,union libre,0,30376.23672,18634.18306,0,0,,,,
3695,34000,0.2,120,12,04/11/2022,42,casado,0,9912.374005,5854.766297,1,1,38190.8295,2.0,117.0,680.0
5821,15000,0.4,60,12,14/05/2023,22,soltero,0,11903.33641,3791.68939,2,0,,,,
1033,45000,0.1,120,12,03/04/2023,43,casado,0,20923.41079,18031.12047,0,1,64584.0689,3.0,126.0,727.0
3429,50000,0.1,80,24,04/11/2022,50,divorciado,1,23157.49984,15263.78143,1,1,,,,
3220,45000,0.3,120,12,14/09/2022,36,union libre,0,23514.72219,8621.765509,0,0,58558.07742,1.0,7.0,480.0
904,15000,0.4,120,12,22/06/2023,65,casado,1,17973.23163,7907.534917,2,0,79348.81156,1.0,32.0,750.0
5881,60000,0.1,60,18,30/07/2022,31,soltero,0,13521.69262,10574.86067,3,1,83467.48218,0.0,48.0,616.0
3697,50000,0.4,80,12,09/09/2022,33,casado,0,36431.82702,26961.45636,2,0,89549.25679,1.0,11.0,385.0
2479,15000,0.1,120,6,18/07/2022,35,casado,1,17469.98222,11801.31406,0,0,97031.48898,0.0,14.0,603.0
5935,45000,0.2,80,6,16/09/2022,50,union libre,0,16679.23323,10997.93414,3,0,,,,
