precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
50000,0.1,120,18,31/05/2023,44,divorciado,0,47159.12685,24189.77638,0,0,25195.90963,3,24,570
50000,0.3,120,18,17/01/2023,37,soltero,0,56028.41333,43763.21503,2,0,34232.65859,4,8,593
60000,0.4,80,12,04/05/2023,28,casado,0,40543.12305,20752.8007,0,0,,,,
45000,0.3,80,24,13/05/2023,55,soltero,0,28598.1208,12003.6036,3,1,60755.31805,0,32,523
50000,0.1,80,6,01/01/2023,51,casado,0,35981.16367,12870.07742,1,0,6380.382866,1,17,595
22000,0.1,80,18,16/06/2023,32,casado,1,57099.77886,23071.88797,2,0,,,,
60000,0.3,80,18,29/10/2022,55,union libre,1,23083.94006,18216.65313,1,1,,,,
34000,0.3,60,18,16/11/2022,53,divorciado,1,5000,4795.729295,0,1,,,,
50000,0.1,80,12,02/02/2023,55,union libre,0,35539.1098,25093.45408,2,0,86409.67499,3,37,414
45000,0.1,120,6,28/07/2022,19,union libre,1,52453.02447,25759.27433,2,0,,,,
34000,0.1,60,12,16/10/2022,52,divorciado,0,48559.23579,36100.706,4,0,29744.39828,0,19,400
60000,0.2,80,18,05/06/2023,42,union libre,0,5000,4005.195169,1,0,,,,
34000,0.1,80,24,01/04/2023,35,divorciado,0,35803.21838,21886.57995,1,0,42721.93716,0,10,629
22000,0.2,60,18,24/05/2023,78,soltero,1,27235.72983,18996.87516,3,1,108468.527,4,71,605
34000,0.4,120,18,03/03/2023,43,soltero,1,30239.35482,22461.32063,0,0,,,,
34000,0.4,120,18,28/01/2023,35,soltero,0,35714.76841,11846.93811,0,0,32368.1412,2,40,646
34000,0.2,120,12,06/11/2022,26,union libre,1,32143.42501,12516.43656,0,1,,,,
45000,0.4,60,18,28/09/2022,56,union libre,1,17604.05904,11457.95606,4,1,87612.53178,2,17,640
60000,0.3,80,6,03/03/2023,32,divorciado,1,24167.12078,20825.87442,0,1,47673.05513,0,16,669
15000,0.1,120,18,24/05/2023,33,soltero,0,5000,5000,2,1,,,,
60000,0.2,80,18,05/10/2022,36,casado,1,28459.58896,13551.10739,1,1,33956.46265,3,18,749
15000,0.1,120,12,25/09/2022,56,divorciado,0,21352.26504,9373.057872,0,0,,,,
15000,0.2,120,24,21/05/2023,49,casado,0,43130.90511,17994.10332,4,1,49930.89596,0,4,674
50000,0.4,80,12,25/10/2022,38,soltero,0,40032.31462,30263.60098,1,0,11339.42592,2,23,626
45000,0.2,80,18,23/03/2023,43,soltero,0,38510.68646,17236.2192,1,1,,,,
22000,0.1,60,18,02/10/2022,32,casado,1,34228.73184,21360.07721,0,0,,,,
34000,0.4,120,24,01/12/2022,55,casado,0,18214.86551,14618.87243,1,1,,,,
15000,0.3,60,6,13/06/2023,40,union libre,1,60132.36472,18700.16057,2,0,,,,
34000,0.1,60,18,15/06/2023,64,divorciado,0,29946.94419,13301.29689,1,0,,,,
50000,0.4,60,6,01/07/2022,65,union libre,0,5000,4575.843512,1,1,,,,
45000,0.3,60,6,18/02/2023,45,divorciado,0,21988.049,14248.42885,0,0,14793.42512,1,5,566
34000,0.3,60,6,22/06/2023,47,union libre,1,16750.50436,12092.40565,3,1,57463.28948,0,97,322
50000,0.2,120,24,04/02/2023,48,soltero,0,26364.75506,7928.979813,2,0,13436.85243,0,147,750
60000,0.3,80,18,27/05/2023,38,casado,0,17595.36999,7813.645454,2,0,45513.39221,0,179,727
45000,0.4,60,24,21/01/2023,37,union libre,1,24426.35325,13153.68956,0,0,27428.95453,2,97,488
15000,0.1,80,6,29/06/2023,35,casado,0,29084.09948,11915.94905,1,0,8057.498529,2,6,532
50000,0.1,120,12,06/08/2022,55,union libre,0,22634.87622,11633.32008,0,0,,,,
22000,0.1,60,24,10/08/2022,50,divorciado,1,5000,1820.143388,1,0,58930.91918,2,2,682
22000,0.1,80,6,19/10/2022,37,union libre,0,6407.403104,4185.202705,1,0,46737.4104,0,1,585
45000,0.4,80,12,06/08/2022,25,union libre,1,21882.08427,9364.659323,4,0,21734.02978,4,39,636
60000,0.3,80,24,05/01/2023,40,casado,0,39119.28499,24666.56342,4,0,,,,
45000,0.2,60,12,29/01/2023,48,divorciado,0,23496.40405,15963.48019,2,0,,,,
60000,0.4,80,24,28/03/2023,42,casado,0,45112.68572,33790.42764,1,0,74075.82531,0,26,549
34000,0.4,60,18,19/12/2022,51,soltero,1,19488.7535,6703.48001,1,0,6508.234468,4,0,547
34000,0.4,120,12,23/06/2023,52,divorciado,0,40285.17548,16408.31535,0,0,87015.05207,4,11,455
22000,0.4,120,18,09/05/2023,32,soltero,1,52953.3897,38793.08216,3,0,,,,
50000,0.4,120,12,18/09/2022,32,union libre,1,43899.06608,31215.12139,2,0,88644.54175,0,59,740
15000,0.3,120,12,07/06/2023,33,union libre,1,5000,5000,2,1,93726.81273,1,32,413
45000,0.3,80,12,06/12/2022,59,casado,0,39375.61291,17415.76962,3,0,,,,
45000,0.3,60,12,11/03/2023,57,union libre,0,34894.43564,25407.36203,4,0,85505.93649,1,95,531
50000,0.2,120,6,23/01/2023,36,union libre,0,36812.22942,14322.49833,1,0,74381.37401,4,102,490
50000,0.4,60,12,08/04/2023,37,casado,1,67433.68842,49601.17677,1,1,,,,
22000,0.3,60,6,03/04/2023,57,casado,0,33698.80736,26303.85176,4,1,76737.08805,1,1,527
50000,0.1,60,12,06/11/2022,46,divorciado,0,39468.16835,16197.8673,2,0,,,,
50000,0.3,120,18,31/05/2023,57,casado,0,14831.7964,14831.7964,3,1,16848.54413,4,40,614
22000,0.4,80,6,01/06/2023,25,casado,0,26351.06022,13489.51735,0,0,,,,
45000,0.3,80,18,23/12/2022,62,soltero,0,21874.70768,19994.56104,1,1,,,,
50000,0.2,60,6,30/10/2022,28,union libre,0,23443.07164,11808.22292,1,0,,,,
15000,0.3,120,18,11/06/2023,26,divorciado,0,32182.58483,10787.53161,1,0,,,,
45000,0.2,80,18,18/11/2022,35,divorciado,0,25474.55572,16720.16443,3,1,,,,
45000,0.2,120,12,29/09/2022,37,divorciado,1,5000,4571.7216,1,1,,,,
15000,0.4,80,24,01/04/2023,37,soltero,0,22623.9294,17273.65391,4,1,,,,
34000,0.4,80,6,10/04/2023,22,union libre,0,44333.18325,22559.96623,1,0,,,,
22000,0.2,80,18,15/02/2023,51,casado,0,37796.27517,12888.53263,0,1,32772.60954,2,14,549
15000,0.2,120,6,01/11/2022,63,divorciado,0,20722.05114,10174.90262,0,0,44292.23576,0,117,611
15000,0.3,80,18,18/06/2023,18,divorciado,1,31478.69083,23019.06996,0,0,,,,
34000,0.4,80,18,26/04/2023,51,union libre,0,17918.02448,8252.015995,2,0,21565.69097,4,69,500
34000,0.1,60,24,10/10/2022,41,union libre,0,6569.739852,5897.848033,0,1,96594.31363,0,23,596
45000,0.1,80,6,24/07/2022,63,casado,0,23265.24175,10007.71884,1,0,,,,
15000,0.1,60,18,11/09/2022,46,divorciado,1,10982.57902,9089.894977,2,1,,,,
45000,0.4,80,12,17/08/2022,40,soltero,0,18696.46962,13819.11684,0,1,93148.00368,1,154,533
60000,0.2,80,12,06/08/2022,37,casado,0,28999.60863,9401.743186,0,0,58809.3962,0,81,536
34000,0.1,120,24,28/03/2023,54,casado,1,13309.9068,6017.922512,1,0,29637.17478,1,21,575
34000,0.1,120,12,11/09/2022,31,casado,1,39618.15006,32210.76342,2,0,58810.20446,1,67,572
45000,0.3,80,6,14/04/2023,47,divorciado,1,43433.92963,25984.92016,4,0,81005.17787,3,25,604
15000,0.3,60,24,15/09/2022,53,divorciado,0,5000,3290.580328,2,0,68330.5355,1,47,621
22000,0.2,60,18,20/07/2022,48,soltero,0,42578.78061,30702.0352,4,1,52004.33033,4,24,737
15000,0.4,60,18,05/02/2023,67,divorciado,0,24407.20843,13711.92608,0,0,,,,
50000,0.4,120,12,29/06/2023,42,union libre,0,10731.74959,10731.74959,1,0,85746.46163,1,89,592
50000,0.1,120,12,23/04/2023,51,union libre,1,41295.20192,25577.51654,3,0,34765.19712,1,64,545
60000,0.4,120,24,26/08/2022,38,casado,0,27854.00295,17905.25572,3,1,36440.13504,3,75,651
50000,0.4,60,24,28/04/2023,54,soltero,1,24192.95915,9106.888541,2,1,75953.81003,2,16,631
45000,0.1,80,18,16/06/2023,39,casado,1,10070.44895,7749.30528,1,0,58051.13964,2,7,573
50000,0.3,60,18,26/10/2022,35,casado,0,43733.6511,30527.93294,0,0,22654.18504,0,3,630
60000,0.4,60,12,29/12/2022,55,casado,0,45547.7421,19453.34947,0,0,70275.61974,1,22,448
45000,0.2,80,18,23/03/2023,48,casado,0,15026.6623,11108.69069,0,1,44530.98419,2,31,588
34000,0.4,60,6,18/09/2022,28,divorciado,0,5000,4467.164762,0,1,,,,
60000,0.3,80,18,16/12/2022,33,casado,1,34538.84318,21766.41349,2,0,,,,
15000,0.1,120,18,17/03/2023,47,soltero,0,39616.03384,31568.96443,0,0,,,,
45000,0.2,60,24,12/06/2023,66,divorciado,1,21599.78418,11872.99141,1,0,68354.78646,1,43,454
22000,0.3,120,12,12/09/2022,54,divorciado,0,31097.55714,25453.84627,4,1,27197.99782,0,46,583
50000,0.4,60,18,08/08/2022,69,casado,0,16589.20438,8007.218616,1,0,,,,
50000,0.4,80,24,22/02/2023,23,viudo,0,34561.41491,18330.76335,0,0,87377.09558,1,0,600
22000,0.2,60,24,07/10/2022,47,union libre,1,44387.9745,26584.3178,2,0,,,,
34000,0.2,80,12,15/06/2023,36,casado,0,22622.45407,9826.339536,3,0,70412.47992,1,3,699
34000,0.3,60,6,14/11/2022,49,union libre,1,5000,5000,0,1,111949.729,0,76,567
50000,0.1,80,6,17/06/2023,41,union libre,0,27464.68953,19691.69004,3,0,,,,
22000,0.2,60,12,21/11/2022,59,union libre,1,13419.6922,9596.348656,0,1,,,,
50000,0.4,120,12,20/07/2022,34,soltero,0,8671.776042,2906.800738,2,0,67716.41626,1,46,726
60000,0.3,80,18,04/11/2022,53,divorciado,0,31133.05109,23406.3757,0,1,100950.7273,1,62,570
50000,0.1,60,24,22/07/2022,39,casado,0,30012.50838,20284.63101,1,0,39090.94482,1,13,750
50000,0.3,80,18,10/12/2022,42,soltero,1,5000,5000,1,0,46850.64712,1,32,638
50000,0.3,80,24,26/04/2023,38,divorciado,1,53192.69694,20200.58218,2,1,,,,
15000,0.1,120,18,25/12/2022,38,union libre,0,19081.46194,14324.07057,2,0,77822.1809,1,35,645
15000,0.1,120,6,14/12/2022,38,divorciado,0,20761.76125,11233.39464,3,0,9728.931886,1,76,452
15000,0.1,60,24,19/12/2022,40,divorciado,0,44123.63435,18438.34543,0,0,58312.37161,4,5,670
22000,0.3,60,24,20/01/2023,40,casado,1,36422.9697,28459.97009,2,0,27270.93823,0,59,616
22000,0.1,80,12,21/12/2022,34,casado,1,46378.11998,19442.38665,0,0,,,,
22000,0.3,60,24,28/06/2023,55,union libre,1,5000,3333.610464,1,0,13320.74051,1,33,555
22000,0.2,120,6,01/08/2022,25,soltero,0,25709.50304,17802.37542,1,0,26944.5886,1,35,672
34000,0.3,60,18,24/06/2023,31,casado,0,32008.04088,16492.44798,0,0,,,,
50000,0.4,80,12,03/06/2023,72,union libre,1,49523.1155,31942.03423,0,0,12463.52545,2,27,492
45000,0.4,80,24,06/05/2023,27,divorciado,0,17330.06506,10159.552,3,0,,,,
34000,0.3,120,12,23/11/2022,23,casado,0,24890.56097,9857.069758,0,0,78663.28313,3,54,481
50000,0.3,120,12,22/02/2023,54,union libre,0,18610.93295,14766.3911,1,1,,,,
60000,0.3,80,18,05/01/2023,18,soltero,0,41420.91986,31645.91714,2,1,17371.62142,1,21,557
45000,0.3,60,18,15/11/2022,37,casado,0,13360.74534,7272.507906,0,0,99427.43578,2,26,591
22000,0.4,60,12,23/07/2022,75,soltero,1,25155.73735,21155.025,0,0,70396.13412,1,51,688
45000,0.4,80,18,02/03/2023,21,soltero,0,21148.66879,10870.04897,1,1,,,,
50000,0.1,60,12,09/07/2022,27,soltero,1,23635.24701,15635.92033,0,0,35018.72562,2,16,437
60000,0.1,120,12,16/09/2022,22,divorciado,1,27104.88745,17264.42437,4,0,24305.57632,1,8,616
50000,0.4,60,6,18/12/2022,59,soltero,0,16280.33562,10970.30083,4,1,98322.87005,2,64,458
34000,0.3,60,24,06/01/2023,53,divorciado,0,33181.39908,24918.33498,1,0,,,,
45000,0.3,120,24,17/12/2022,33,union libre,0,49155.16895,34439.90054,0,0,98480.18628,2,18,584
34000,0.3,120,18,23/04/2023,48,viudo,1,26465.38753,19484.04704,1,0,,,,
60000,0.3,80,18,20/08/2022,56,casado,0,25464.50383,15400.40454,0,0,24648.64125,1,25,532
60000,0.3,60,24,26/11/2022,61,union libre,1,46025.7681,34145.31979,1,1,99940.65871,0,12,682
60000,0.4,80,6,12/08/2022,37,soltero,0,51004.43,32642.13356,0,0,98726.50977,3,20,569
22000,0.1,60,18,29/08/2022,25,casado,0,7903.939522,7114.855063,2,0,94589.55707,2,44,609
45000,0.2,60,24,13/02/2023,30,union libre,0,40385.15417,30930.80389,0,0,,,,
60000,0.1,60,12,19/03/2023,41,union libre,0,5000,3757.299422,1,1,,,,
34000,0.4,60,24,28/06/2023,36,soltero,0,40472.55111,22271.43486,0,1,,,,
34000,0.3,120,6,09/11/2022,37,divorciado,0,43801.57019,16853.61187,1,0,,,,
34000,0.1,120,18,17/07/2022,53,soltero,1,25871.92252,20020.45699,0,0,82976.22642,0,38,657
45000,0.4,80,6,08/12/2022,55,union libre,0,46662.58447,19156.22302,4,0,94828.35384,0,59,455
34000,0.1,60,6,04/06/2023,37,union libre,0,26059.40427,10442.21078,1,0,,,,
45000,0.2,60,24,28/12/2022,53,union libre,0,30360.5178,10644.31563,0,0,77108.68991,2,0,661
22000,0.1,120,12,20/07/2022,54,casado,0,24025.92248,16261.96626,1,1,57865.03287,1,85,548
60000,0.1,60,24,13/12/2022,40,casado,0,15598.70919,6813.629654,0,1,65912.1918,0,25,657
15000,0.1,80,18,22/02/2023,64,divorciado,0,5000,5000,1,0,,,,
45000,0.2,120,6,22/02/2023,40,casado,0,34196.78874,15517.16256,0,0,29441.50654,1,20,596
22000,0.2,80,18,11/09/2022,64,union libre,0,18871.00111,12462.12854,1,0,75174.55266,5,3,436
15000,0.4,120,6,20/07/2022,22,union libre,0,11689.19741,4652.073115,1,0,18881.11181,1,33,456
50000,0.1,60,18,09/06/2023,47,union libre,0,34278.959,15583.18256,2,0,,,,
60000,0.4,60,12,22/01/2023,38,divorciado,0,52752.57144,37089.65143,1,0,61022.29579,4,73,626
15000,0.2,120,24,01/01/2023,56,casado,0,37424.97545,21199.57617,3,1,67786.55439,1,40,660
22000,0.2,80,6,18/07/2022,55,casado,0,12231.24961,4352.942581,4,0,,,,
45000,0.1,60,12,04/09/2022,44,soltero,1,16358.92688,16358.92688,4,1,,,,
15000,0.3,60,24,26/07/2022,22,casado,1,25357.90193,9856.517033,0,0,,,,
45000,0.4,120,6,08/12/2022,50,viudo,0,17207.66237,6454.569363,2,1,97881.78473,3,17,739
50000,0.1,60,12,20/10/2022,49,union libre,1,31276.89436,14987.60727,1,0,,,,
22000,0.4,60,18,19/09/2022,18,union libre,1,28987.0333,10082.17962,1,0,88640.96375,0,15,526
50000,0.3,80,6,22/02/2023,39,union libre,0,26509.79172,10015.61637,3,0,,,,
22000,0.3,60,24,23/08/2022,20,casado,0,44821.66789,32416.02969,0,0,,,,
15000,0.1,120,24,30/07/2022,32,soltero,0,49498.0159,19094.02931,1,0,,,,
34000,0.2,60,18,19/03/2023,29,union libre,1,25151.01555,8946.553425,1,0,98487.95128,3,40,493
15000,0.1,60,24,22/01/2023,49,divorciado,0,27309.1533,20208.19363,0,0,12473.86,0,26,629
22000,0.1,120,6,28/02/2023,41,union libre,0,26287.00099,13719.13992,3,1,,,,
60000,0.2,80,6,07/01/2023,24,divorciado,1,37723.95946,14281.59205,1,0,99077.91851,4,35,542
60000,0.2,120,24,16/08/2022,57,union libre,1,21893.54686,14697.80362,2,0,52073.13872,0,54,566
34000,0.1,60,24,23/08/2022,22,casado,0,19356.22757,6208.566511,4,0,82881.25385,1,54,447
60000,0.3,60,6,21/03/2023,48,divorciado,0,17049.64735,12682.25513,2,0,,,,
34000,0.4,60,6,28/05/2023,30,union libre,0,7545.940751,4491.018805,3,0,74581.88801,0,3,619
45000,0.2,120,18,23/04/2023,35,divorciado,0,6428.255751,5004.782895,0,0,,,,
60000,0.4,80,6,01/01/2023,46,divorciado,0,12287.95378,5692.178096,1,0,94076.23417,1,40,416
15000,0.3,120,12,29/07/2022,46,union libre,0,26228.69231,17901.7526,1,0,,,,
60000,0.4,120,12,24/01/2023,56,divorciado,0,39168.13346,14349.24205,2,0,8932.963942,1,1,522
60000,0.4,80,18,28/03/2023,39,casado,0,18262.86111,9438.085451,0,0,47793.01424,0,54,655
15000,0.2,60,6,28/05/2023,43,casado,0,28108.36673,11568.48643,2,0,38049.60837,3,19,687
50000,0.1,60,24,21/09/2022,48,casado,1,27431.74627,18521.15024,0,0,69878.00054,2,58,682
45000,0.3,120,18,11/11/2022,42,union libre,0,53039.74841,26976.86094,0,1,45690.64235,3,34,415
22000,0.4,120,6,14/12/2022,52,soltero,0,17539.59667,15045.3963,1,0,,,,
60000,0.2,80,24,08/05/2023,38,divorciado,0,31506.43411,23905.47534,2,1,67799.26291,0,8,514
45000,0.2,60,12,02/01/2023,18,soltero,0,20920.26,12366.0274,4,0,34557.91417,1,31,657
34000,0.1,120,24,19/07/2022,43,casado,0,57550.40747,22344.22706,2,0,85812.44609,0,58,621
34000,0.4,60,24,14/09/2022,44,casado,1,41468.61129,23988.69988,1,0,,,,
22000,0.3,120,24,13/08/2022,31,casado,0,13333.22789,9280.47513,0,0,53956.75512,1,10,642
15000,0.2,80,24,21/04/2023,33,soltero,0,44799.66851,15534.70156,0,1,94534.06257,0,49,693
60000,0.3,60,6,13/10/2022,57,casado,0,40751.85038,21069.30465,2,0,83174.47428,2,27,600
50000,0.1,120,12,21/09/2022,45,casado,0,33509.40855,10767.35901,0,0,60678.75493,2,42,510
60000,0.4,60,18,23/11/2022,37,divorciado,0,39904.69822,16838.9434,2,0,41092.47873,0,102,750
45000,0.3,80,24,07/03/2023,26,union libre,0,47037.47176,16277.66188,0,0,,,,
60000,0.3,120,12,29/06/2023,30,union libre,0,18704.7251,14595.09388,1,0,,,,
45000,0.1,120,12,16/11/2022,68,divorciado,0,10844.5635,8209.805571,2,1,,,,
45000,0.1,120,24,26/05/2023,41,divorciado,0,29423.62637,11035.38818,3,0,,,,
60000,0.3,120,12,04/03/2023,33,casado,0,11399.90957,8960.642228,1,0,60293.06117,2,36,389
22000,0.2,120,24,19/10/2022,53,casado,0,29730.72603,18522.25888,0,1,78272.08233,0,60,382
60000,0.3,120,12,04/03/2023,30,soltero,0,25868.2573,17564.3531,4,0,32849.08174,1,59,593
45000,0.4,80,6,02/06/2023,72,divorciado,1,7988.848268,5286.088023,2,1,51371.77676,3,65,325
15000,0.1,80,24,18/08/2022,70,soltero,1,5000,5000,3,0,26458.20478,1,45,484
22000,0.4,60,18,02/01/2023,47,casado,1,16345.17501,7059.565065,0,1,35238.22568,0,88,530
45000,0.2,60,12,09/09/2022,32,union libre,0,32336.46112,16310.80964,1,0,83691.52572,3,66,694
50000,0.2,120,18,27/09/2022,18,divorciado,0,44940.75916,25955.30595,0,0,,,,
50000,0.1,120,18,20/04/2023,22,union libre,0,45362.19704,25276.04671,0,0,14482.24014,1,25,664
22000,0.1,60,6,09/07/2022,23,union libre,0,12994.91429,6535.270313,0,0,96377.50393,1,16,433
22000,0.3,80,18,24/03/2023,41,divorciado,0,36908.25402,25612.6243,1,0,24944.43725,0,78,484
15000,0.1,120,12,16/11/2022,36,union libre,0,48448.53953,26686.44457,4,0,35106.32326,3,107,576
60000,0.1,60,18,31/12/2022,23,casado,0,26660.69548,16477.91643,1,0,,,,
15000,0.2,120,6,25/09/2022,41,divorciado,0,9449.779231,5439.248237,2,1,,,,
22000,0.1,60,18,10/04/2023,46,casado,0,24048.51015,17573.44995,4,1,97028.91712,2,22,614
45000,0.4,60,12,29/11/2022,56,casado,1,27257.26718,18048.14153,0,1,,,,
34000,0.4,60,6,10/07/2022,18,casado,1,34310.10236,18563.54321,0,0,45557.66991,2,45,676
15000,0.1,120,6,30/07/2022,38,casado,0,44694.70296,21279.03142,0,0,61518.27479,0,10,542
60000,0.4,80,6,24/04/2023,36,divorciado,1,13248.03969,12681.42274,3,0,59436.74864,2,37,480
60000,0.2,60,24,23/05/2023,59,soltero,1,29700.97912,24066.72588,2,0,95190.08968,2,29,606
45000,0.1,80,24,28/09/2022,49,divorciado,0,38962.64039,16058.14725,1,0,10970.07025,2,13,524
34000,0.3,120,6,21/10/2022,29,casado,0,47645.09509,32225.10682,3,0,82272.23751,4,39,622
34000,0.4,60,12,01/10/2022,44,divorciado,1,10274.36138,5403.839777,0,0,,,,
45000,0.4,80,6,20/12/2022,34,soltero,0,53514.74626,16853.14092,0,1,,,,
34000,0.4,120,6,16/06/2023,24,soltero,0,14506.72547,12422.06568,1,0,36661.2239,1,59,525
34000,0.3,60,6,03/05/2023,44,divorciado,0,22370.46346,8178.396993,2,0,,,,
50000,0.4,80,18,26/10/2022,36,soltero,0,24095.1289,9093.293439,0,1,,,,
60000,0.4,120,12,01/07/2022,60,divorciado,0,13779.36096,12266.00758,0,1,24430.16034,1,32,592
15000,0.3,60,18,08/11/2022,31,casado,0,44452.29712,35269.30752,1,1,36585.60359,1,118,527
60000,0.4,120,12,03/08/2022,45,divorciado,0,31181.31087,13400.39588,0,0,,,,
45000,0.4,60,18,01/07/2023,21,soltero,0,37438.19743,13369.03494,2,0,44498.92818,1,10,623
45000,0.3,60,24,28/05/2023,41,soltero,1,5000,5000,1,0,105994.9376,1,52,627
45000,0.4,120,6,22/10/2022,25,casado,0,49282.34465,15396.94811,1,0,49070.79011,0,60,612
45000,0.1,60,18,27/01/2023,65,union libre,0,5000,5000,3,0,26802.51021,0,32,418
45000,0.2,80,6,08/02/2023,31,casado,1,29454.69193,22719.75747,2,0,,,,
34000,0.1,120,12,06/07/2022,41,soltero,0,19437.12983,6757.148234,0,1,,,,
45000,0.1,60,18,09/05/2023,35,divorciado,0,33594.90794,20115.94174,1,0,65221.07804,2,11,702
45000,0.3,120,24,13/07/2022,24,casado,0,53010.91815,40313.91237,1,0,72247.72137,3,18,657
34000,0.1,60,24,30/01/2023,37,divorciado,0,15578.66698,9563.90054,3,0,,,,
45000,0.3,120,24,01/07/2023,47,divorciado,0,19215.85845,6079.376426,2,0,,,,
34000,0.1,60,18,17/04/2023,25,casado,0,32093.72218,19198.68617,1,0,15807.38661,2,48,583
50000,0.4,60,12,18/09/2022,49,divorciado,0,53549.99062,40244.56654,3,0,8120.611411,1,7,478
15000,0.1,60,6,25/05/2023,42,divorciado,0,10207.79874,7349.64848,1,0,,,,
50000,0.3,80,18,12/07/2022,34,soltero,0,19256.59454,8796.681302,3,1,,,,
60000,0.1,60,6,08/03/2023,46,divorciado,0,32458.58416,13776.45512,0,1,51888.24931,1,108,747
50000,0.1,60,24,11/05/2023,42,casado,1,15326.28905,12829.94795,0,0,28113.83782,2,10,628
22000,0.4,80,6,29/03/2023,40,casado,1,14625.16708,6127.527065,2,0,,,,
34000,0.1,60,24,17/07/2022,36,soltero,1,23920.0437,15832.54263,0,0,23553.34137,1,50,709
60000,0.1,120,24,08/04/2023,41,union libre,0,5000,3112.154369,2,0,65678.70543,0,14,630
22000,0.2,120,24,16/10/2022,18,casado,0,29543.79294,14783.32423,2,0,67989.50018,0,7,580
60000,0.1,60,12,10/05/2023,18,casado,1,11310.91016,7479.650722,2,1,,,,
45000,0.4,120,18,04/10/2022,60,casado,0,47920.27787,21592.06855,3,1,,,,
22000,0.4,60,12,15/05/2023,52,casado,1,38322.52702,25858.66935,1,0,7355.624193,2,24,670
50000,0.4,120,6,05/09/2022,29,casado,1,33806.5903,20333.11203,3,0,,,,
15000,0.3,120,12,27/12/2022,44,divorciado,0,32343.29967,23959.46954,1,0,47044.49145,0,35,595
50000,0.2,80,18,22/07/2022,51,casado,0,11170.60396,6639.34748,1,1,,,,
15000,0.1,120,12,06/11/2022,48,union libre,0,27867.29502,16973.06387,1,0,75098.19137,0,21,495
45000,0.1,120,18,30/12/2022,28,soltero,0,30774.89102,18270.74302,4,0,,,,
50000,0.1,60,18,05/06/2023,29,union libre,1,15361.71685,8340.356148,0,0,,,,
45000,0.4,80,24,31/08/2022,44,union libre,1,20436.51046,12247.73333,2,1,,,,
22000,0.3,80,12,30/10/2022,53,casado,0,55731.82187,19847.71436,0,0,,,,
45000,0.1,80,24,29/03/2023,80,casado,0,5000,5000,0,1,,,,
22000,0.3,120,24,03/05/2023,37,union libre,0,37991.64914,19013.229,4,0,29415.6303,1,4,595
45000,0.1,80,6,18/09/2022,23,casado,0,17723.34651,9063.767322,0,1,,,,
60000,0.1,120,12,01/02/2023,44,casado,0,40364.19079,24460.57866,2,0,15191.26679,0,19,691
22000,0.1,80,6,28/08/2022,55,divorciado,0,35083.55896,15785.95636,1,0,,,,
45000,0.3,80,12,25/07/2022,50,casado,0,43364.08691,19896.00973,3,1,,,,
50000,0.4,120,12,02/06/2023,29,casado,0,55523.112,30476.11647,2,0,,,,
34000,0.3,60,6,01/08/2022,51,soltero,1,8278.588364,4935.353619,0,0,45074.77703,1,11,689
45000,0.3,80,18,18/05/2023,47,soltero,0,41463.61635,24200.82902,1,0,79319.12209,1,32,598
45000,0.1,80,12,04/02/2023,39,divorciado,1,27022.13613,21987.56232,0,1,35954.61331,1,94,610
34000,0.4,120,6,02/11/2022,44,casado,0,47833.75722,32745.65225,1,0,77994.81325,0,37,647
45000,0.3,120,24,14/06/2023,64,union libre,1,28351.21797,12599.18895,2,1,,,,
45000,0.4,120,12,21/07/2022,54,divorciado,0,38947.82222,22657.41682,0,0,84758.68239,0,14,586
22000,0.3,120,24,04/11/2022,39,divorciado,0,14510.99536,7384.748637,3,0,7897.866328,0,25,631
45000,0.1,120,6,18/09/2022,35,viudo,0,36329.39027,17457.20375,0,0,29524.06168,1,33,450
45000,0.1,60,12,07/12/2022,54,casado,1,26751.33417,20837.89699,0,0,21874.27244,0,12,668
45000,0.4,120,12,19/10/2022,25,divorciado,1,40254.47666,21270.38058,0,0,89604.05681,2,16,611
50000,0.4,120,6,16/02/2023,45,casado,1,28582.26577,18856.21942,0,0,45709.37901,1,14,544
45000,0.3,60,24,18/01/2023,23,casado,0,36708.01337,28762.32472,1,1,56832.06967,0,35,438
45000,0.4,120,24,19/11/2022,52,divorciado,0,39241.95961,14735.3585,0,1,27997.29578,0,73,614
34000,0.3,60,6,15/05/2023,36,divorciado,0,39524.82893,12936.79789,4,0,,,,
34000,0.2,60,12,13/06/2023,55,soltero,0,18843.03367,8607.688374,4,0,,,,
60000,0.3,120,12,30/06/2023,45,divorciado,0,66281.5104,21357.36964,1,0,31913.43787,2,23,388
15000,0.3,80,12,10/12/2022,25,union libre,0,33808.19096,12116.25742,1,0,93241.37329,1,19,730
45000,0.3,120,24,19/08/2022,57,casado,0,39476.17211,31417.30545,4,0,50253.23324,3,0,460
22000,0.2,120,24,26/03/2023,67,union libre,0,16137.02246,13701.32101,2,0,23484.17556,1,98,694
50000,0.1,120,12,18/09/2022,50,union libre,0,13376.51456,8636.497526,0,0,7260.149335,0,18,737
34000,0.4,80,18,06/08/2022,42,divorciado,1,32390.09087,23992.68593,2,1,45392.60695,3,117,511
